,Episode,Reward
8,8,17.0
8,8,19.0
8,8,19.0
8,8,18.0
8,8,16.0
8,8,13.0
8,8,17.0
8,8,17.0
8,8,17.0
8,8,17.0
8,8,17.0
8,8,11.0
8,8,18.0
8,8,19.0
8,8,16.0
8,8,15.0
8,8,18.0
8,8,18.0
8,8,18.0
8,8,14.0
8,8,14.0
8,8,14.0
8,8,17.0
8,8,17.0
8,8,15.0
8,8,19.0
8,8,21.0
8,8,18.0
8,8,18.0
9,9,12.0
9,9,19.0
9,9,20.0
9,9,14.0
9,9,18.0
9,9,19.0
9,9,14.0
9,9,16.0
9,9,15.0
9,9,12.0
9,9,17.0
9,9,16.0
9,9,16.0
9,9,17.0
9,9,18.0
9,9,13.0
9,9,14.0
9,9,17.0
9,9,19.0
9,9,17.0
9,9,8.0
9,9,18.0
9,9,15.0
9,9,16.0
9,9,14.0
9,9,15.0
9,9,18.0
9,9,17.0
9,9,19.0
9,9,15.0
9,9,18.0
9,9,17.0
9,9,15.0
9,9,18.0
9,9,19.0
9,9,14.0
9,9,19.0
9,9,19.0
9,9,17.0
9,9,16.0
9,9,18.0
9,9,15.0
9,9,16.0
9,9,19.0
9,9,18.0
9,9,15.0
9,9,16.0
9,9,20.0
9,9,14.0
9,9,17.0
9,9,20.0
9,9,19.0
9,9,17.0
9,9,15.0
9,9,15.0
9,9,17.0
9,9,20.0
9,9,16.0
9,9,13.0
9,9,18.0
9,9,16.0
9,9,16.0
9,9,14.0
9,9,18.0
9,9,17.0
9,9,18.0
9,9,20.0
9,9,18.0
9,9,19.0
9,9,17.0
9,9,18.0
9,9,20.0
9,9,16.0
9,9,14.0
9,9,16.0
9,9,13.0
9,9,10.0
9,9,14.0
9,9,13.0
9,9,20.0
9,9,14.0
9,9,17.0
9,9,19.0
9,9,20.0
10,10,17.0
10,10,16.0
10,10,16.0
10,10,19.0
10,10,21.0
10,10,16.0
10,10,16.0
10,10,19.0
10,10,15.0
10,10,18.0
10,10,16.0
10,10,12.0
10,10,17.0
10,10,18.0
10,10,13.0
10,10,17.0
10,10,14.0
10,10,16.0
10,10,15.0
10,10,17.0
10,10,20.0
10,10,15.0
10,10,17.0
10,10,19.0
10,10,12.0
10,10,18.0
10,10,17.0
10,10,18.0
10,10,20.0
10,10,18.0
10,10,19.0
10,10,19.0
10,10,16.0
10,10,21.0
10,10,17.0
10,10,15.0
10,10,18.0
10,10,18.0
10,10,19.0
10,10,18.0
10,10,18.0
10,10,18.0
10,10,17.0
10,10,16.0
10,10,17.0
10,10,20.0
10,10,21.0
10,10,13.0
10,10,20.0
10,10,15.0
10,10,17.0
10,10,18.0
10,10,19.0
10,10,15.0
10,10,19.0
10,10,18.0
10,10,18.0
10,10,19.0
10,10,17.0
10,10,21.0
10,10,19.0
10,10,13.0
10,10,15.0
10,10,20.0
10,10,19.0
10,10,20.0
10,10,18.0
10,10,18.0
10,10,17.0
10,10,18.0
10,10,19.0
10,10,20.0
10,10,16.0
10,10,17.0
10,10,18.0
10,10,19.0
10,10,19.0
10,10,20.0
10,10,17.0
10,10,15.0
10,10,20.0
10,10,21.0
10,10,17.0
10,10,20.0
10,10,18.0
10,10,18.0
10,10,20.0
10,10,16.0
10,10,20.0
10,10,19.0
10,10,20.0
10,10,18.0
10,10,20.0
10,10,17.0
11,11,18.0
11,11,14.0
11,11,20.0
11,11,21.0
11,11,17.0
11,11,19.0
11,11,16.0
11,11,20.0
11,11,19.0
11,11,17.0
11,11,21.0
11,11,16.0
11,11,16.0
